,state,city,lattitude,longitude,distance_from_centroid,state_count,Cluster
990,Delhi NCR,Delhi,28.6874177,77.1341163,110455.14362187606,53,0
991,Delhi NCR,Delhi,28.8558802,77.1245004,110455.15325118488,53,0
992,Delhi NCR,Gurgaon,28.4438196,77.1117253,110455.16599394109,53,0
993,Delhi NCR,Gurgaon,28.451114,77.100126,110455.17759380024,53,0
994,Delhi NCR,Delhi,28.6179662,77.2487894,110455.0289433232,53,0
995,Delhi NCR,Noida,28.6257406,77.3753188,110454.90241453184,53,0
996,Delhi NCR,Gurgaon,28.4022133,76.969045,110455.30867106032,53,0
997,Delhi NCR,Gurgaon,28.391085,76.97266,110455.30505521235,53,0
998,Delhi NCR,Delhi,28.5494799,77.1213702,110455.15635718814,53,0
999,Delhi NCR,Delhi,28.5494799,77.1213702,110455.15635718814,53,0
1000,Delhi NCR,Delhi,28.5516849,77.1216672,110455.15606035922,53,0
1001,Delhi NCR,Delhi,28.5516849,77.1216672,110455.15606035922,53,0
1002,Delhi NCR,Gurgaon,28.3977181,77.0715213,110455.20619441796,53,0
1003,Delhi NCR,Gurgaon,28.3977181,77.0715213,110455.20619441796,53,0
1004,Kerala,Kochi,9.976850008,76.45768854,110455.82015936609,93,0
1005,Goa,Goa,15.51047222,73.83722222,110458.44026316114,8,0
1006,Goa,Goa,15.50636,73.82488,110458.4526055476,8,0
1007,Goa,Goa,15.469336,73.820463,110458.45702405328,8,0
1008,Gujarat,AHMEDABAD,22.996681,72.498226,110459.77921015308,78,0
1009,Gujarat,Amboli,21.30157137,72.95378153,110459.32362133467,78,0
1010,Gujarat,KARJAN,22.0242,73.1175,110459.15991387468,78,0
1011,Gujarat,Ahmedabad,23.04626,72.53069,110459.74674751826,78,0
1012,Gujarat,Ahmedabad,23.02938,72.56142,110459.71601705097,78,0
1013,Gujarat,Ahmedabad,23.014261,72.503947,110459.7734896346,78,0
1014,Gujarat,Ahmedabad,23.02558,72.47991,110459.7975269461,78,0
1015,Gujarat,Surat,21.164948,72.835879,110459.44152231445,78,0
1016,Gujarat,Rajkot,22.227526,70.801092,110461.4763258243,78,0
1017,Gujarat,Surat,21.159829,72.770603,110459.50679825967,78,0
1018,Gujarat,Vadodara,22.271793,73.190795,110459.0866237344,78,0
1019,Gujarat,Vadodara,22.403828,73.13455,110459.14287155285,78,0
1020,Gujarat,Kevadia,21.885704,73.688136,110458.58927539844,78,0
1021,Gujarat,Ahmedabad,23.0522787,72.5710882,110459.70634948552,78,0
1022,Gujarat,Ahmedabad,23.0397522,72.5318124,110459.74562493779,78,0
1023,Gujarat,Ahmedabad,23.0397522,72.5318124,110459.74562493779,78,0
1024,Gujarat,Ahmedabad,22.935404,72.520954,110459.75648049654,78,0
1025,Gujarat,Rajkot,22.225264,70.801197,110461.4762207783,78,0
1026,Gujarat,Ahmedabad,23.0633903,72.5317625,110459.74567549511,78,0
1027,Gujarat,Ahmedabad,23.0332201,72.5137528,110459.76368435704,78,0
1028,Gujarat,Rajkot,22.2967048,70.7991222,110461.47829705357,78,0
1029,Gujarat,Bharuch,21.7164114,72.6562979,110459.62111070719,78,0
1030,Gujarat,Vadodara,22.3205834,73.1883779,110459.0890418575,78,0
1031,Gujarat,Junagadh,21.52840996,70.45845795,110461.81894786148,78,0
1032,Gujarat,Bhuj,23.2655334,69.6786728,110462.5987710216,78,0
1033,Haryana,GURUGRAM,28.499,77.08356,110455.19416348312,62,0
1034,Haryana,GURUGRAM,28.462298,77.048472,110455.2292486584,62,0
1035,Haryana,Panchkula,30.695929,76.834874,110455.44304077265,62,0
1036,Haryana,FARIDABAD,28.288075,77.295116,110454.98259141711,62,0
1037,Haryana,Ganaur,29.157569,77.035833,110455.24194323969,62,0
1038,Haryana,Gurgaon,28.4811468,77.0831202,110455.1946019076,62,0
1039,Himachal Pradesh,Barog,30.8873188,77.0879411,110455.18999240764,6,0
1040,Haryana,Hisar,29.1259617,75.8027817,110456.47499191375,62,0
1041,Telangana,Hyderabad,17.499345,78.541866,110453.73555681249,82,0
1042,Rajasthan,Jajpur,20.9238315,86.2494284,110446.02797059139,69,0
1043,Jammu & Kashmir,Jammu,32.70661,74.89568,110457.3824481298,7,0
1044,Jammu & Kashmir,Jammu,32.713043,74.8598406,110457.41828827097,7,0
1045,Jharkhand,Jamshedpur,22.79094,86.14731,110446.13012073013,22,0
1046,Jharkhand,Ranchi,23.371302,85.350737,110446.92671002561,22,0
1047,Jharkhand,Jamshedpur,22.800099,86.188305,110446.08912596361,22,0
1048,Jharkhand,Jamshedpur,22.802611,86.203633,110446.0737980278,22,0
1049,Jharkhand,Jamshedpur,22.808483,86.198276,110446.07915517804,22,0
1050,Jharkhand,Dhanbad,23.848551,86.441642,110445.83582071177,22,0
1051,Jharkhand,Jamshedpur,22.78778833,86.18442833,110446.09300231996,22,0
1052,Karnataka,Banglore,12.934801,77.610918,110454.66670163735,134,0
1053,Karnataka,MYSURU,12.298073,76.664021,110455.61364108269,134,0
1054,Karnataka,Banglore,12.9019627,77.468995,110454.80862673647,134,0
1055,Karnataka,Banglore,12.865032,77.657853,110454.61977110956,134,0
1056,Karnataka,Banglore,12.91162361,77.64899678,110454.62862433819,134,0
